path	taxid
Eukaryota;SAR;Rhizaria;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Protaspis;	12039
Eukaryota;SAR;Rhizaria;Retaria;Polycystinea;	12043
Eukaryota;SAR;Rhizaria;Retaria;Polycystinea;HA2;	12047
Eukaryota;SAR;Rhizaria;Retaria;Polycystinea;KW16;	12048
Eukaryota;SAR;Rhizaria;Retaria;Polycystinea;Spumellaria;Cladococcus;	12050
Eukaryota;SAR;Rhizaria;Retaria;Polycystinea;Spumellaria;Larcopyle;	12051
Eukaryota;SAR;Stramenopiles;	12056
Eukaryota;SAR;Stramenopiles;Bicosoecida;	12057
Eukaryota;SAR;Stramenopiles;Incertae Sedis;Developayella;	12095
Eukaryota;SAR;Stramenopiles;Peronosporomycetes;	12105
Eukaryota;SAR;Stramenopiles;Peronosporomycetes;Aphanomyces;	12107
Eukaryota;SAR;Stramenopiles;Peronosporomycetes;Phytophthora;	12108
Eukaryota;SAR;Stramenopiles;Peronosporomycetes;Pythium;	12109
Archaea;Aenigmarchaeota;	12816
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;	12827
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Flexilinea;	12953
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;	12954
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea;	12955
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Longilinea;	12956
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;	12959
Bacteria;Chloroflexi;CSP1-4;	12964
Bacteria;Chloroflexi;Chloroflexia;	12966
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;	12968
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;	12969
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Aeribacillus;	12985
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Calditerricola;	12986
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Fictibacillus;	12987
